"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,113.02k,382.649u
,,113.04k,382.7377u
,,113.06k,378.8547u
,,113.08k,371.1085u
,,113.1k,361.6591u
,,113.12k,355.4528u
,,113.14k,351.2052u
,,113.16k,346.9889u
,,113.18k,345.9032u
,,113.2k,347.0556u
,,113.22k,342.6915u
,,113.24k,332.4454u
,,113.26k,325.6728u
,,113.28k,321.2796u
,,113.3k,314.9383u
,,113.32k,309.8274u
,,113.34k,306.2618u
,,113.36k,301.8984u
,,113.38k,295.8916u
,,113.4k,289.5232u
,,113.42k,281.6708u
,,113.44k,270.3771u
,,113.46k,259.1509u
,,113.48k,249.1416u
,,113.5k,238.2403u
,,113.52k,229.9366u
,,113.54k,223.7127u
,,113.56k,212.9089u
,,113.58k,198.943u
,,113.6k,184.4476u
,,113.62k,169.9669u
,,113.64k,157.9733u
,,113.66k,149.1607u
,,113.68k,139.6997u
,,113.7k,128.3444u
,,113.72k,119.3704u
,,113.74k,109.1244u
,,113.76k,93.32553u
,,113.78k,76.53961u
,,113.8k,65.6123u
,,113.82k,57.8917u
,,113.84k,47.39651u
,,113.86k,38.1028u
,,113.88k,33.1715u
,,113.9k,28.82542u
,,113.92k,25.70542u
,,113.94k,21.00878u
,,113.96k,15.74574u
,,113.98k,11.86936u
,,114k,4.080947u
,,114.02k,7.296784u
,,114.04k,15.37636u
,,114.06k,24.3081u
,,114.08k,35.18158u
,,114.1k,42.24121u
,,114.12k,43.22071u
,,114.14k,46.8561u
,,114.16k,51.86809u
,,114.18k,49.22562u
,,114.2k,49.11031u
,,114.22k,57.5488u
,,114.24k,63.17906u
,,114.26k,66.7886u
,,114.28k,74.86621u
,,114.3k,81.59639u
,,114.32k,81.85191u
,,114.34k,82.40992u
,,114.36k,89.78998u
,,114.38k,99.42387u
,,114.4k,106.7415u
,,114.42k,113.3558u
,,114.44k,118.2718u
,,114.46k,120.6091u
,,114.48k,122.9655u
,,114.5k,125.48u
,,114.52k,127.3748u
,,114.54k,129.7171u
,,114.56k,133.6311u
,,114.58k,139.1683u
,,114.6k,142.4842u
,,114.62k,142.725u
,,114.64k,146.0908u
,,114.66k,151.5076u
,,114.68k,152.2886u
,,114.7k,151.9133u
,,114.72k,154.7598u
,,114.74k,156.7308u
,,114.76k,154.3753u
,,114.78k,152.0383u
,,114.8k,156.3186u
,,114.82k,165.0823u
,,114.84k,170.6165u
,,114.86k,172.4296u
,,114.88k,174.1678u
,,114.9k,179.4457u
,,114.92k,187.2384u
,,114.94k,192.6603u
,,114.96k,196.261u
,,114.98k,200.6098u
,,115k,203.5808u
,,115.02k,202.4562u
,,115.04k,200.5786u
,,115.06k,203.9121u
,,115.08k,209.3729u
,,115.1k,214.6153u
,,115.12k,221.2674u
,,115.14k,227.0686u
,,115.16k,232.2135u
,,115.18k,235.2563u
,,115.2k,233.1099u
,,115.22k,230.0606u
,,115.24k,229.7529u
,,115.26k,230.3462u
,,115.28k,233.2278u
,,115.3k,241.2764u
,,115.32k,250.6382u
,,115.34k,255.3803u
,,115.36k,255.358u
,,115.38k,253.8793u
,,115.4k,254.2102u
,,115.42k,260.3453u
,,115.44k,268.2305u
,,115.46k,269.6171u
,,115.48k,267.984u
,,115.5k,268.0799u
,,115.52k,268.2466u
,,115.54k,269.5074u
,,115.56k,274.7254u
,,115.58k,281.8833u
,,115.6k,286.3248u
,,115.62k,288.3108u
,,115.64k,292.0202u
,,115.66k,296.1411u
,,115.68k,297.5424u
,,115.7k,297.4289u
,,115.72k,295.9107u
,,115.74k,296.3316u
,,115.76k,303.1971u
,,115.78k,310.4403u
,,115.8k,308.7016u
,,115.82k,300.5974u
,,115.84k,297.1574u
,,115.86k,300.7104u
,,115.88k,305.6232u
,,115.9k,308.5801u
,,115.92k,309.67u
,,115.94k,307.671u
,,115.96k,302.5131u
,,115.98k,299.6704u
,,116k,298.7757u
,,116.02k,294.6612u
,,116.04k,284.9518u
,,116.06k,273.555u
,,116.08k,266.2071u
,,116.1k,258.1336u
,,116.12k,248.0009u
,,116.14k,242.6828u
,,116.16k,239.7769u
,,116.18k,231.6772u
,,116.2k,216.6177u
,,116.22k,198.4598u
,,116.24k,180.3111u
,,116.26k,164.4566u
,,116.28k,155.3899u
,,116.3k,150.6758u
,,116.32k,141.1059u
,,116.34k,125.1415u
,,116.36k,108.7498u
,,116.38k,101.2702u
,,116.4k,99.69852u
,,116.42k,90.2983u
,,116.44k,75.07318u
,,116.46k,68.1341u
,,116.48k,69.92145u
,,116.5k,69.27845u
,,116.52k,63.16493u
,,116.54k,53.79487u
,,116.56k,43.7051u
,,116.58k,37.74256u
,,116.6k,32.60299u
,,116.62k,24.92671u
,,116.64k,19.74901u
,,116.66k,20.75775u
,,116.68k,20.39391u
,,116.7k,13.81854u
,,116.72k,12.05745u
,,116.74k,12.47576u
,,116.76k,12.87022u
,,116.78k,19.27941u
,,116.8k,26.48796u
,,116.82k,31.57624u
,,116.84k,35.55277u
,,116.86k,34.65864u
