"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,114.58k,84.9759u
,,114.6k,85.21646u
,,114.62k,80.12027u
,,114.64k,75.00024u
,,114.66k,78.4449u
,,114.68k,86.73862u
,,114.7k,88.95528u
,,114.72k,84.06145u
,,114.74k,82.07047u
,,114.76k,86.77225u
,,114.78k,90.4755u
,,114.8k,91.16802u
,,114.82k,91.91562u
,,114.84k,92.16478u
,,114.86k,90.99122u
,,114.88k,90.96074u
,,114.9k,95.21248u
,,114.92k,100.8569u
,,114.94k,103.9563u
,,114.96k,103.9859u
,,114.98k,103.9884u
,,115k,106.5572u
,,115.02k,106.2844u
,,115.04k,102.3817u
,,115.06k,99.09902u
,,115.08k,96.03414u
,,115.1k,96.76147u
,,115.12k,101.6624u
,,115.14k,102.1951u
,,115.16k,102.4875u
,,115.18k,108.5386u
,,115.2k,113.6628u
,,115.22k,116.5891u
,,115.24k,116.8107u
,,115.26k,113.8373u
,,115.28k,111.627u
,,115.3k,108.504u
,,115.32k,106.7811u
,,115.34k,110.735u
,,115.36k,114.1986u
,,115.38k,111.1387u
,,115.4k,109.4767u
,,115.42k,114.9159u
,,115.44k,118.7093u
,,115.46k,115.798u
,,115.48k,110.706u
,,115.5k,110.6399u
,,115.52k,120.2629u
,,115.54k,130.8744u
,,115.56k,130.113u
,,115.58k,123.6965u
,,115.6k,121.8491u
,,115.62k,122.2506u
,,115.64k,119.9631u
,,115.66k,117.6036u
,,115.68k,119.4231u
,,115.7k,122.6894u
,,115.72k,126.9188u
,,115.74k,131.5754u
,,115.76k,130.1899u
,,115.78k,127.239u
,,115.8k,130.9076u
,,115.82k,132.7771u
,,115.84k,129.1348u
,,115.86k,129.0573u
,,115.88k,133.4125u
,,115.9k,137.7565u
,,115.92k,140.9148u
,,115.94k,142.1991u
,,115.96k,141.2548u
,,115.98k,140.4195u
,,116k,141.0502u
,,116.02k,142.2645u
,,116.04k,142.1895u
,,116.06k,139.3991u
,,116.08k,137.3663u
,,116.1k,139.9254u
,,116.12k,148.2473u
,,116.14k,160.2389u
,,116.16k,166.2073u
,,116.18k,161.6489u
,,116.2k,158.1694u
,,116.22k,161.6925u
,,116.24k,163.3763u
,,116.26k,163.7719u
,,116.28k,170.3771u
,,116.3k,178.5789u
,,116.32k,181.4345u
,,116.34k,182.6037u
,,116.36k,186.1297u
,,116.38k,189.6616u
,,116.4k,189.7221u
,,116.42k,189.3202u
,,116.44k,192.2458u
,,116.46k,196.2483u
,,116.48k,200.751u
,,116.5k,209.5505u
,,116.52k,219.2096u
,,116.54k,222.4947u
,,116.56k,222.2935u
,,116.58k,221.8978u
,,116.6k,222.5476u
,,116.62k,227.1848u
,,116.64k,233.1126u
,,116.66k,234.8169u
,,116.68k,234.1507u
,,116.7k,235.6244u
,,116.72k,239.7149u
,,116.74k,242.5659u
,,116.76k,245.366u
,,116.78k,250.6793u
,,116.8k,252.968u
,,116.82k,251.4511u
,,116.84k,250.3945u
,,116.86k,252.7617u
,,116.88k,257.3265u
,,116.9k,258.5601u
,,116.92k,257.3319u
,,116.94k,255.666u
,,116.96k,251.3608u
,,116.98k,245.9211u
,,117k,246.1401u
,,117.02k,251.4396u
,,117.04k,251.7506u
,,117.06k,250.2123u
,,117.08k,252.2778u
,,117.1k,253.4934u
,,117.12k,253.0021u
,,117.14k,251.117u
,,117.16k,248.9628u
,,117.18k,248.5163u
,,117.2k,246.6481u
,,117.22k,243.5658u
,,117.24k,243.4191u
,,117.26k,242.0287u
,,117.28k,236.0487u
,,117.3k,231.9789u
,,117.32k,232.9263u
,,117.34k,232.9816u
,,117.36k,228.8473u
,,117.38k,224.9132u
,,117.4k,223.2506u
,,117.42k,221.1045u
,,117.44k,217.6848u
,,117.46k,215.6169u
,,117.48k,216.047u
,,117.5k,215.8585u
,,117.52k,214.7259u
,,117.54k,214.1655u
,,117.56k,212.0203u
,,117.58k,208.6926u
,,117.6k,208.5304u
,,117.62k,212.5627u
,,117.64k,215.1962u
,,117.66k,211.5217u
,,117.68k,209.0639u
,,117.7k,212.746u
,,117.72k,213.9615u
,,117.74k,215.6317u
,,117.76k,226.3739u
,,117.78k,237.1746u
,,117.8k,240.3079u
,,117.82k,245.4864u
,,117.84k,260.5773u
,,117.86k,281.2622u
,,117.88k,302.9471u
,,117.9k,323.8803u
,,117.92k,345.0844u
,,117.94k,372.4647u
,,117.96k,407.3324u
,,117.98k,442.1674u
,,118k,471.7222u
,,118.02k,501.5155u
,,118.04k,533.2645u
,,118.06k,555.9706u
,,118.08k,569.7378u
,,118.1k,585.9958u
,,118.12k,600.832u
,,118.14k,605.7234u
,,118.16k,606.2757u
,,118.18k,607.9882u
,,118.2k,608.725u
,,118.22k,606.255u
,,118.24k,604.1556u
,,118.26k,601.8361u
,,118.28k,592.9935u
,,118.3k,579.5015u
,,118.32k,566.0204u
,,118.34k,555.4266u
,,118.36k,549.026u
,,118.38k,545.8354u
,,118.4k,545.8006u
,,118.42k,545.1097u
,,118.44k,540.019u
,,118.46k,533.6534u
,,118.48k,528.8233u
,,118.5k,525.4382u
,,118.52k,524.41u
,,118.54k,522.8369u
,,118.56k,516.6316u
,,118.58k,509.6158u
,,118.6k,503.4141u
,,118.62k,494.7312u
,,118.64k,487.0146u
,,118.66k,484.1431u
,,118.68k,483.0525u
,,118.7k,481.8592u
,,118.72k,481.1433u
,,118.74k,480.7388u
,,118.76k,482.7375u
,,118.78k,485.8974u
,,118.8k,484.6637u
,,118.82k,481.8332u
,,118.84k,480.0783u
,,118.86k,475.5577u
,,118.88k,472.3257u
,,118.9k,476.1162u
,,118.92k,479.0234u
,,118.94k,476.7507u
,,118.96k,476.7874u
,,118.98k,478.4474u
,,119k,476.3669u
,,119.02k,474.3767u
,,119.04k,475.1002u
,,119.06k,475.9784u
,,119.08k,478.134u
,,119.1k,479.9018u
,,119.12k,478.7151u
,,119.14k,477.0087u
,,119.16k,477.3878u
,,119.18k,479.3918u
,,119.2k,479.7052u
,,119.22k,477.5703u
,,119.24k,476.7544u
,,119.26k,479.7893u
,,119.28k,480.9855u
,,119.3k,477.7174u
,,119.32k,475.558u
,,119.34k,477.2607u
,,119.36k,479.572u
,,119.38k,480.7424u
,,119.4k,486.857u
,,119.42k,494.5077u
,,119.44k,495.414u
,,119.46k,493.6786u
,,119.48k,491.2084u
,,119.5k,488.1798u
,,119.52k,489.2385u
,,119.54k,493.975u
,,119.56k,495.1677u
,,119.58k,490.5239u
,,119.6k,488.2115u
,,119.62k,491.4919u
,,119.64k,495.2159u
,,119.66k,496.3454u
,,119.68k,495.7623u
,,119.7k,494.975u
,,119.72k,493.0459u
,,119.74k,492.0083u
,,119.76k,494.4546u
,,119.78k,497.2738u
,,119.8k,501.0068u
,,119.82k,506.7345u
,,119.84k,509.9951u
,,119.86k,512.0841u
,,119.88k,513.7529u
,,119.9k,511.3118u
,,119.92k,506.7346u
,,119.94k,502.6012u
,,119.96k,499.744u
,,119.98k,497.0861u
,,120k,492.8931u
,,120.02k,489.3222u
,,120.04k,487.8031u
,,120.06k,486.719u
,,120.08k,484.237u
,,120.1k,480.5622u
,,120.12k,478.6346u
,,120.14k,478.2074u
,,120.16k,478.1922u
,,120.18k,478.7392u
,,120.2k,476.8086u
,,120.22k,471.6758u
,,120.24k,465.3217u
,,120.26k,458.6553u
,,120.28k,451.1941u
,,120.3k,444.3947u
,,120.32k,440.3894u
,,120.34k,436.0998u
,,120.36k,430.4327u
,,120.38k,427.4477u
,,120.4k,430.2969u
,,120.42k,434.0296u
,,120.44k,429.9906u
,,120.46k,422.5492u
,,120.48k,420.8471u
,,120.5k,420.6513u
,,120.52k,417.5151u
,,120.54k,417.6418u
,,120.56k,421.1798u
,,120.58k,422.5602u
,,120.6k,422.4981u
,,120.62k,419.852u
,,120.64k,416.8524u
,,120.66k,420.5534u
,,120.68k,425.251u
,,120.7k,425.3827u
,,120.72k,425.2597u
,,120.74k,427.9672u
,,120.76k,433.0669u
,,120.78k,438.4476u
,,120.8k,444.7619u
,,120.82k,450.0507u
,,120.84k,450.4441u
,,120.86k,451.9131u
