"Frequency, Hz - Peaks"	Magnitude (V) - Peaks	"Frequency, Hz - Signal"	Magnitude (V) - Signal
		561.2k	581.7341u
		561.26k	577.7971u
		561.32k	582.9923u
		561.38k	590.1139u
		561.44k	585.8707u
		561.5k	577.5829u
		561.56k	573.7735u
		561.62k	571.3493u
		561.68k	564.6199u
		561.74k	561.4353u
		561.8k	571.8829u
		561.86k	578.5707u
		561.92k	566.8534u
		561.98k	572.2214u
		562.04k	569.4296u
		562.1k	565.6944u
		562.16k	566.3217u
		562.22k	554.3002u
		562.28k	555.6965u
		562.34k	553.6911u
		562.4k	550.2254u
		562.46k	548.624u
		562.52k	555.7136u
		562.58k	550.0415u
		562.64k	543.4558u
		562.7k	539.3718u
		562.76k	548.1935u
		562.82k	546.298u
		562.88k	554.0523u
		562.94k	550.1201u
		563k	540.6233u
		563.06k	543.6872u
		563.12k	550.8751u
		563.18k	552.6576u
		563.24k	552.1164u
		563.3k	556.9272u
		563.36k	545.1076u
		563.42k	531.2133u
		563.48k	529.6543u
		563.54k	549.031u
		563.6k	537.0734u
		563.66k	532.5481u
		563.72k	545.7789u
		563.78k	536.0495u
		563.84k	528.7462u
		563.9k	534.6691u
		563.96k	520.9696u
		564.02k	531.208u
		564.08k	524.4497u
		564.14k	520.8065u
		564.2k	518.1258u
		564.26k	515.7771u
		564.32k	524.6789u
		564.38k	529.731u
		564.44k	514.1705u
		564.5k	517.459u
		564.56k	521.6001u
		564.62k	526.0196u
		564.68k	508.1533u
		564.74k	499.7784u
		564.8k	506.0096u
		564.86k	507.0284u
		564.92k	505.1095u
		564.98k	501.9527u
		565.04k	508.7364u
		565.1k	491.0376u
		565.16k	500.4224u
		565.22k	502.5959u
		565.28k	496.8163u
		565.34k	501.709u
		565.4k	487.8138u
		565.46k	500.0049u
		565.52k	489.3901u
		565.58k	486.7268u
		565.64k	490.3843u
		565.7k	471.2435u
		565.76k	469.1652u
		565.82k	471.7839u
		565.88k	475.6702u
		565.94k	477.4794u
		566k	482.1436u
		566.06k	470.0312u
		566.12k	469.0799u
		566.18k	455.4348u
		566.24k	446.6176u
		566.3k	459.9222u
		566.36k	467.3748u
		566.42k	446.0224u
		566.48k	447.9919u
		566.54k	458.1494u
		566.6k	448.5662u
		566.66k	450.7273u
		566.72k	448.3108u
		566.78k	435.9898u
		566.84k	436.5721u
		566.9k	433.7954u
		566.96k	433.1488u
		567.02k	431.6687u
		567.08k	428.2871u
		567.14k	417.3574u
		567.2k	426.3494u
		567.26k	423.3645u
		567.32k	423.4624u
		567.38k	425.4094u
		567.44k	426.4608u
		567.5k	416.719u
		567.56k	410.7493u
		567.62k	410.7851u
		567.68k	402.5378u
		567.74k	385.8971u
		567.8k	391.6768u
		567.86k	406.155u
		567.92k	392.1754u
		567.98k	409.1202u
		568.04k	393.417u
		568.1k	395.2116u
		568.16k	394.2544u
		568.22k	390.0994u
		568.28k	393.342u
		568.34k	391.6749u
		568.4k	389.2926u
		568.46k	383.6343u
		568.52k	378.1844u
		568.58k	370.3592u
		568.64k	364.4647u
		568.7k	370.1448u
		568.76k	373.771u
		568.82k	375.3783u
		568.88k	367.5688u
		568.94k	362.2207u
		569k	360.6285u
		569.06k	362.3165u
