"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,116.26k,171.2253u
,,116.28k,167.7951u
,,116.3k,169.7426u
,,116.32k,176.6139u
,,116.34k,180.768u
,,116.36k,180.4851u
,,116.38k,180.6807u
,,116.4k,183.1954u
,,116.42k,188.1368u
,,116.44k,192.9453u
,,116.46k,194.2822u
,,116.48k,196.2823u
,,116.5k,201.9153u
,,116.52k,206.2883u
,,116.54k,208.8989u
,,116.56k,213.1726u
,,116.58k,217.6589u
,,116.6k,222.6715u
,,116.62k,229.2968u
,,116.64k,234.8178u
,,116.66k,241.0335u
,,116.68k,249.9674u
,,116.7k,254.7526u
,,116.72k,256.2293u
,,116.74k,261.0718u
,,116.76k,262.1399u
,,116.78k,255.998u
,,116.8k,254.2963u
,,116.82k,257.9155u
,,116.84k,258.144u
,,116.86k,256.9671u
,,116.88k,259.8542u
,,116.9k,263.9226u
,,116.92k,265.8664u
,,116.94k,267.2747u
,,116.96k,266.1951u
,,116.98k,262.4711u
,,117k,262.2525u
,,117.02k,263.8335u
,,117.04k,260.4995u
,,117.06k,258.672u
,,117.08k,263.6301u
,,117.1k,267.246u
,,117.12k,266.3588u
,,117.14k,263.6511u
,,117.16k,262.0511u
,,117.18k,261.9356u
,,117.2k,262.1329u
,,117.22k,264.8611u
,,117.24k,269.6387u
,,117.26k,271.2874u
,,117.28k,269.2938u
,,117.3k,267.0117u
,,117.32k,263.8402u
,,117.34k,260.9171u
,,117.36k,259.1845u
,,117.38k,255.5361u
,,117.4k,250.5129u
,,117.42k,248.591u
,,117.44k,248.5657u
,,117.46k,249.2066u
,,117.48k,252.383u
,,117.5k,252.7368u
,,117.52k,247.8024u
,,117.54k,242.0224u
,,117.56k,238.2143u
,,117.58k,236.8574u
,,117.6k,236.2631u
,,117.62k,235.7009u
,,117.64k,233.2049u
,,117.66k,227.3271u
,,117.68k,224.5881u
,,117.7k,226.4484u
,,117.72k,227.4286u
,,117.74k,229.5458u
,,117.76k,232.4645u
,,117.78k,229.0519u
,,117.8k,220.9728u
,,117.82k,219.6481u
,,117.84k,228.0146u
,,117.86k,238.7811u
,,117.88k,247.1564u
,,117.9k,255.1117u
,,117.92k,268.1666u
,,117.94k,287.1382u
,,117.96k,306.739u
,,117.98k,325.6785u
,,118k,347.4913u
,,118.02k,371.0243u
,,118.04k,396.12u
,,118.06k,425.4449u
,,118.08k,452.2876u
,,118.1k,472.7244u
,,118.12k,492.5081u
,,118.14k,513.6001u
,,118.16k,533.8798u
,,118.18k,551.6602u
,,118.2k,563.4801u
,,118.22k,568.6999u
,,118.24k,573.9991u
,,118.26k,580.6236u
,,118.28k,583.0388u
,,118.3k,579.6523u
,,118.32k,572.6131u
,,118.34k,562.9335u
,,118.36k,554.9666u
,,118.38k,552.5779u
,,118.4k,550.7704u
,,118.42k,543.2327u
,,118.44k,531.531u
,,118.46k,521.9738u
,,118.48k,515.6089u
,,118.5k,512.2388u
,,118.52k,510.9413u
,,118.54k,508.6571u
,,118.56k,506.4691u
,,118.58k,503.1339u
,,118.6k,495.3827u
,,118.62k,488.9909u
,,118.64k,488.041u
,,118.66k,488.581u
,,118.68k,491.0549u
,,118.7k,493.0619u
,,118.72k,488.5895u
,,118.74k,480.9425u
,,118.76k,475.2761u
,,118.78k,471.8101u
,,118.8k,468.0493u
,,118.82k,464.1242u
,,118.84k,462.7421u
,,118.86k,464.0524u
,,118.88k,465.9954u
,,118.9k,465.5168u
,,118.92k,463.5702u
,,118.94k,464.69u
,,118.96k,469.9037u
,,118.98k,472.6973u
,,119k,471.5114u
,,119.02k,474.4114u
,,119.04k,477.3718u
,,119.06k,472.4954u
,,119.08k,467.5799u
,,119.1k,469.5312u
,,119.12k,474.0554u
,,119.14k,471.9036u
,,119.16k,463.4288u
,,119.18k,459.5967u
,,119.2k,461.0861u
,,119.22k,462.8957u
,,119.24k,464.2087u
,,119.26k,465.0165u
,,119.28k,466.7007u
,,119.3k,471.1986u
,,119.32k,474.4755u
,,119.34k,472.3632u
,,119.36k,470.9459u
,,119.38k,472.9014u
,,119.4k,477.3526u
,,119.42k,481.0241u
,,119.44k,481.5536u
,,119.46k,484.4071u
,,119.48k,486.5591u
,,119.5k,483.5681u
,,119.52k,481.2418u
,,119.54k,483.137u
,,119.56k,485.1841u
,,119.58k,485.4252u
,,119.6k,486.5941u
,,119.62k,488.4112u
,,119.64k,491.6749u
,,119.66k,495.9002u
,,119.68k,497.4243u
,,119.7k,498.1325u
,,119.72k,500.6082u
,,119.74k,504.2956u
,,119.76k,508.1907u
,,119.78k,510.8672u
,,119.8k,512.7648u
,,119.82k,513.8481u
,,119.84k,513.5043u
,,119.86k,512.8741u
,,119.88k,512.1918u
,,119.9k,511.8529u
,,119.92k,511.5266u
,,119.94k,511.2439u
,,119.96k,511.8198u
,,119.98k,511.7245u
,,120k,512.5825u
,,120.02k,515.4233u
,,120.04k,519.115u
,,120.06k,527.2489u
,,120.08k,537.4503u
,,120.1k,538.5505u
,,120.12k,531.4364u
,,120.14k,530.4575u
,,120.16k,534.3625u
,,120.18k,532.9607u
,,120.2k,529.0338u
,,120.22k,524.9778u
,,120.24k,520.9344u
,,120.26k,521.4764u
,,120.28k,524.9001u
,,120.3k,523u
,,120.32k,517.3889u
,,120.34k,515.7178u
,,120.36k,514.6191u
,,120.38k,512.8253u
,,120.4k,514.4485u
,,120.42k,513.0679u
,,120.44k,505.61u
,,120.46k,502.7598u
,,120.48k,506.4295u
,,120.5k,503.9789u
,,120.52k,493.3104u
,,120.54k,482.9106u
,,120.56k,474.7595u
,,120.58k,468.3132u
,,120.6k,464.0786u
,,120.62k,461.1731u
,,120.64k,460.679u
,,120.66k,462.7966u
,,120.68k,462.6663u
,,120.7k,457.6086u
