"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,112.24k,363.4594u
,,112.26k,365.3011u
,,112.28k,371.1443u
,,112.3k,375.6106u
,,112.32k,376.2843u
,,112.34k,377.4969u
,,112.36k,380.4795u
,,112.38k,378.7757u
,,112.4k,373.8709u
,,112.42k,374.0747u
,,112.44k,374.9598u
,,112.46k,371.0969u
,,112.48k,369.8534u
,,112.5k,373.1174u
,,112.52k,374.89u
,,112.54k,375.1513u
,,112.56k,373.9033u
,,112.58k,368.3801u
,,112.6k,360.3224u
,,112.62k,354.79u
,,112.64k,352.4673u
,,112.66k,344.2364u
,,112.68k,328.2725u
,,112.7k,316.8904u
,,112.72k,310.0244u
,,112.74k,299.203u
,,112.76k,284.9543u
,,112.78k,269.862u
,,112.8k,256.2484u
,,112.82k,243.3555u
,,112.84k,226.0893u
,,112.86k,209.5816u
,,112.88k,198.7562u
,,112.9k,188.4405u
,,112.92k,177.8852u
,,112.94k,164.7577u
,,112.96k,147.2111u
,,112.98k,132.0364u
,,113k,119.9076u
,,113.02k,110.0447u
,,113.04k,105.2454u
,,113.06k,103.703u
,,113.08k,102.5833u
,,113.1k,100.1427u
,,113.12k,95.62626u
,,113.14k,91.37136u
,,113.16k,86.54416u
,,113.18k,79.39564u
,,113.2k,75.34555u
,,113.22k,72.85847u
,,113.24k,66.57755u
,,113.26k,61.75522u
,,113.28k,62.24845u
,,113.3k,62.79965u
,,113.32k,59.51196u
,,113.34k,59.3616u
,,113.36k,67.50748u
,,113.38k,72.80777u
,,113.4k,69.36595u
,,113.42k,64.13091u
,,113.44k,68.62943u
,,113.46k,81.9177u
,,113.48k,88.65899u
,,113.5k,87.45211u
,,113.52k,87.42811u
,,113.54k,89.54849u
,,113.56k,92.37991u
,,113.58k,92.36756u
,,113.6k,90.38023u
,,113.62k,88.47985u
,,113.64k,87.30113u
,,113.66k,92.51229u
,,113.68k,101.122u
,,113.7k,102.47u
,,113.72k,100.71u
,,113.74k,104.8687u
,,113.76k,108.201u
,,113.78k,105.835u
,,113.8k,105.8423u
,,113.82k,109.537u
,,113.84k,113.463u
,,113.86k,117.8858u
,,113.88k,121.4688u
,,113.9k,120.5013u
,,113.92k,116.1157u
,,113.94k,113.1442u
,,113.96k,111.7369u
,,113.98k,113.8942u
,,114k,121.1861u
,,114.02k,128.5497u
,,114.04k,129.1107u
,,114.06k,122.127u
,,114.08k,118.1574u
,,114.1k,122.844u
,,114.12k,127.5089u
,,114.14k,130.0667u
,,114.16k,136.1715u
,,114.18k,141.9881u
,,114.2k,140.5096u
,,114.22k,134.4136u
,,114.24k,129.7022u
,,114.26k,128.2497u
,,114.28k,128.5681u
,,114.3k,130.0404u
,,114.32k,133.673u
,,114.34k,137.6863u
,,114.36k,140.4032u
,,114.38k,145.6713u
,,114.4k,150.6857u
,,114.42k,150.0817u
,,114.44k,145.8623u
,,114.46k,140.9855u
,,114.48k,138.1957u
,,114.5k,141.1586u
,,114.52k,149.5171u
,,114.54k,157.3495u
,,114.56k,160.5345u
,,114.58k,159.3611u
