"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,116.42k,185.8244u
,,116.44k,190.2323u
,,116.46k,193.281u
,,116.48k,191.9598u
,,116.5k,187.651u
,,116.52k,183.3824u
,,116.54k,179.3654u
,,116.56k,178.3398u
,,116.58k,180.5518u
,,116.6k,180.9303u
,,116.62k,178.3465u
,,116.64k,175.6805u
,,116.66k,174.0287u
,,116.68k,173.1941u
,,116.7k,175.1919u
,,116.72k,179.1327u
,,116.74k,182.0848u
,,116.76k,181.2987u
,,116.78k,177.6398u
,,116.8k,176.9888u
,,116.82k,177.838u
,,116.84k,182.1844u
,,116.86k,197.0471u
,,116.88k,215.1343u
,,116.9k,227.2534u
,,116.92k,235.6648u
,,116.94k,246.1406u
,,116.96k,258.9932u
,,116.98k,272.1356u
,,117k,284.4147u
,,117.02k,293.4679u
,,117.04k,302.5377u
,,117.06k,314.6441u
,,117.08k,326.7u
,,117.1k,335.8406u
,,117.12k,341.2023u
,,117.14k,345.0878u
,,117.16k,346.9289u
,,117.18k,348.4382u
,,117.2k,353.7894u
,,117.22k,358.7556u
,,117.24k,363.1836u
,,117.26k,369.7551u
,,117.28k,376.4227u
,,117.3k,379.8565u
,,117.32k,378.8711u
,,117.34k,377.1259u
,,117.36k,376.647u
,,117.38k,379.4575u
,,117.4k,383.6004u
,,117.42k,384.9541u
,,117.44k,385.5795u
,,117.46k,385.619u
,,117.48k,383.7392u
,,117.5k,382.2818u
,,117.52k,381.0609u
,,117.54k,377.7949u
,,117.56k,374.512u
,,117.58k,374.1186u
,,117.6k,375.5483u
,,117.62k,377.2693u
,,117.64k,380.3369u
,,117.66k,385.8172u
,,117.68k,392.3907u
,,117.7k,395.7217u
,,117.72k,393.9656u
,,117.74k,392.2173u
,,117.76k,393.9122u
,,117.78k,396.7101u
,,117.8k,398.7921u
,,117.82k,398.5681u
,,117.84k,396.6097u
,,117.86k,395.8123u
,,117.88k,397.0901u
,,117.9k,401.1346u
,,117.92k,406.4482u
,,117.94k,410.9116u
,,117.96k,411.2576u
,,117.98k,407.9349u
,,118k,408.4607u
,,118.02k,414.2304u
,,118.04k,418.8013u
,,118.06k,421.3278u
,,118.08k,425.2524u
,,118.1k,431.4435u
,,118.12k,439.4851u
,,118.14k,443.3906u
,,118.16k,442.228u
,,118.18k,441.4663u
,,118.2k,440.3052u
,,118.22k,438.8723u
,,118.24k,439.7522u
,,118.26k,442.4142u
,,118.28k,442.9421u
,,118.3k,442.3657u
,,118.32k,447.0342u
,,118.34k,455.4866u
,,118.36k,460.4952u
,,118.38k,460.8517u
,,118.4k,460.5965u
,,118.42k,460.3911u
,,118.44k,461.2877u
,,118.46k,466.8887u
,,118.48k,473.224u
,,118.5k,473.8516u
,,118.52k,471.0794u
,,118.54k,471.7748u
,,118.56k,477.2281u
,,118.58k,483.6645u
,,118.6k,486.7156u
,,118.62k,483.3936u
,,118.64k,478.3318u
,,118.66k,480.1049u
,,118.68k,488.0857u
,,118.7k,493.4556u
,,118.72k,496.3008u
,,118.74k,500.8396u
,,118.76k,502.8018u
,,118.78k,503.3433u
,,118.8k,506.6045u
,,118.82k,510.3073u
,,118.84k,512.5126u
,,118.86k,515.3446u
,,118.88k,519.9994u
,,118.9k,522.4558u
,,118.92k,523.817u
,,118.94k,529.1218u
,,118.96k,535.4318u
,,118.98k,538.3858u
,,119k,539.258u
,,119.02k,538.1292u
,,119.04k,537.5708u
,,119.06k,542.5296u
,,119.08k,550.9058u
,,119.1k,556.258u
,,119.12k,555.0792u
,,119.14k,555.7427u
,,119.16k,564.2361u
,,119.18k,570.2528u
,,119.2k,569.4466u
,,119.22k,567.7593u
,,119.24k,568.449u
,,119.26k,572.669u
,,119.28k,579.108u
,,119.3k,584.8661u
,,119.32k,589.2485u
,,119.34k,594.409u
,,119.36k,600.7686u
,,119.38k,605.7187u
,,119.4k,609.7703u
,,119.42k,614.0964u
,,119.44k,618.9382u
,,119.46k,625.9912u
,,119.48k,634.8878u
,,119.5k,642.951u
,,119.52k,646.6181u
,,119.54k,646.5956u
,,119.56k,647.3762u
,,119.58k,650.4311u
,,119.6k,656.1376u
,,119.62k,661.7031u
,,119.64k,666.0857u
,,119.66k,672.8144u
,,119.68k,680.3525u
,,119.7k,683.4061u
,,119.72k,683.2179u
,,119.74k,684.0006u
,,119.76k,685.4006u
,,119.78k,686.9219u
,,119.8k,688.8011u
,,119.82k,691.1076u
,,119.84k,691.8052u
,,119.86k,690.0157u
,,119.88k,690.17u
,,119.9k,694.4264u
,,119.92k,697.4136u
,,119.94k,696.2516u
,,119.96k,696.1103u
,,119.98k,699.188u
,,120k,703.0996u
,,120.02k,703.8942u
,,120.04k,701.6278u
,,120.06k,703.7897u
,,120.08k,709.1198u
,,120.1k,708.4615u
,,120.12k,702.8288u
,,120.14k,698.0614u
,,120.16k,696.1869u
,,120.18k,696.5405u
,,120.2k,694.7157u
,,120.22k,690.2238u
,,120.24k,687.6418u
,,120.26k,685.3078u
,,120.28k,681.0768u
,,120.3k,676.6346u
,,120.32k,671.5654u
,,120.34k,666.4081u
,,120.36k,660.7525u
,,120.38k,652.3622u
,,120.4k,644.336u
,,120.42k,638.7283u
,,120.44k,632.5148u
,,120.46k,627.7804u
,,120.48k,629.4314u
,,120.5k,631.9916u
,,120.52k,629.3144u
,,120.54k,625.2993u
,,120.56k,619.8865u
,,120.58k,610.2091u
,,120.6k,600.9394u
,,120.62k,597.1752u
,,120.64k,594.078u
,,120.66k,585.8597u
,,120.68k,576.8151u
,,120.7k,569.2902u
,,120.72k,560.9962u
,,120.74k,551.8766u
,,120.76k,544.1797u
,,120.78k,539.2205u
,,120.8k,535.8846u
,,120.82k,534.5124u
,,120.84k,531.3567u
,,120.86k,523.1035u
,,120.88k,514.2243u
,,120.9k,507.7097u
,,120.92k,501.295u
,,120.94k,493.1256u
,,120.96k,489.1089u
,,120.98k,490.3705u
,,121k,486.326u
,,121.02k,477.1509u
,,121.04k,470.7749u
,,121.06k,466.5496u
,,121.08k,463.0182u
,,121.1k,462.4132u
